MeasureID,GeoType,GeoID,Time,ban_summary_flag,Value,CI,Note,DisplayValue,MeasureName
671,Borough,1,2020,0,816000.0,,,"816,000","Health insurance (adults), Number"
671,Borough,1,2019,0,837000.0,,,"837,000","Health insurance (adults), Number"
671,Borough,1,2018,0,931000.0,,,"931,000","Health insurance (adults), Number"
671,Borough,1,2017,0,907000.0,,,"907,000","Health insurance (adults), Number"
671,Borough,1,2016,0,917000.0,,,"917,000","Health insurance (adults), Number"
671,Borough,1,2015,0,898000.0,,,"898,000","Health insurance (adults), Number"
671,Borough,1,2014,0,850000.0,,,"850,000","Health insurance (adults), Number"
671,Borough,1,2013,0,757000.0,,,"757,000","Health insurance (adults), Number"
671,Borough,1,2012,0,751000.0,,,"751,000","Health insurance (adults), Number"
671,Borough,2,2020,0,1647000.0,,,"1,647,000","Health insurance (adults), Number"
671,Borough,2,2019,0,1665000.0,,,"1,665,000","Health insurance (adults), Number"
671,Borough,2,2018,0,1688000.0,,,"1,688,000","Health insurance (adults), Number"
671,Borough,2,2017,0,1710000.0,,,"1,710,000","Health insurance (adults), Number"
671,Borough,2,2016,0,1696000.0,,,"1,696,000","Health insurance (adults), Number"
671,Borough,2,2015,0,1688000.0,,,"1,688,000","Health insurance (adults), Number"
671,Borough,2,2014,0,1633000.0,,,"1,633,000","Health insurance (adults), Number"
671,Borough,2,2013,0,1430000.0,,,"1,430,000","Health insurance (adults), Number"
671,Borough,2,2012,0,1502000.0,,,"1,502,000","Health insurance (adults), Number"
671,Borough,3,2020,0,1220000.0,,,"1,220,000","Health insurance (adults), Number"
671,Borough,3,2019,0,1180000.0,,,"1,180,000","Health insurance (adults), Number"
671,Borough,3,2018,0,1244000.0,,,"1,244,000","Health insurance (adults), Number"
671,Borough,3,2017,0,1210000.0,,,"1,210,000","Health insurance (adults), Number"
671,Borough,3,2016,0,1229000.0,,,"1,229,000","Health insurance (adults), Number"
671,Borough,3,2015,0,1179000.0,,,"1,179,000","Health insurance (adults), Number"
671,Borough,3,2014,0,1184000.0,,,"1,184,000","Health insurance (adults), Number"
671,Borough,3,2013,0,1080000.0,,,"1,080,000","Health insurance (adults), Number"
671,Borough,3,2012,0,1096000.0,,,"1,096,000","Health insurance (adults), Number"
671,Borough,4,2020,0,1418000.0,,,"1,418,000","Health insurance (adults), Number"
671,Borough,4,2019,0,1441000.0,,,"1,441,000","Health insurance (adults), Number"
671,Borough,4,2018,0,1545000.0,,,"1,545,000","Health insurance (adults), Number"
671,Borough,4,2017,0,1523000.0,,,"1,523,000","Health insurance (adults), Number"
671,Borough,4,2016,0,1560000.0,,,"1,560,000","Health insurance (adults), Number"
671,Borough,4,2015,0,1491000.0,,,"1,491,000","Health insurance (adults), Number"
671,Borough,4,2014,0,1469000.0,,,"1,469,000","Health insurance (adults), Number"
671,Borough,4,2013,0,1340000.0,,,"1,340,000","Health insurance (adults), Number"
671,Borough,4,2012,0,1307000.0,,,"1,307,000","Health insurance (adults), Number"
671,Borough,5,2020,0,327000.0,,,"327,000","Health insurance (adults), Number"
671,Borough,5,2019,0,337000.0,,,"337,000","Health insurance (adults), Number"
671,Borough,5,2018,0,315000.0,,,"315,000","Health insurance (adults), Number"
671,Borough,5,2017,0,332000.0,,,"332,000","Health insurance (adults), Number"
671,Borough,5,2016,0,321000.0,,,"321,000","Health insurance (adults), Number"
671,Borough,5,2015,0,332000.0,,,"332,000","Health insurance (adults), Number"
671,Borough,5,2014,0,316000.0,,,"316,000","Health insurance (adults), Number"
671,Borough,5,2013,0,316000.0,,,"316,000","Health insurance (adults), Number"
671,Borough,5,2012,0,303000.0,,,"303,000","Health insurance (adults), Number"
671,UHF34,101,2020,0,65000.0,,,"65,000","Health insurance (adults), Number"
671,UHF34,101,2019,0,68000.0,,,"68,000","Health insurance (adults), Number"
671,UHF34,101,2018,0,62000.0,,* Estimate is based on small numbers so should be interpreted with caution.,"62,000*","Health insurance (adults), Number"
671,UHF34,101,2017,0,68000.0,,,"68,000","Health insurance (adults), Number"
671,UHF34,101,2016,0,69000.0,,,"69,000","Health insurance (adults), Number"
671,UHF34,101,2015,0,70000.0,,,"70,000","Health insurance (adults), Number"
671,UHF34,101,2014,0,64000.0,,* Estimate is based on small numbers so should be interpreted with caution.,"64,000*","Health insurance (adults), Number"
671,UHF34,101,2013,0,54000.0,,* Estimate is based on small numbers so should be interpreted with caution.,"54,000*","Health insurance (adults), Number"
671,UHF34,101,2012,0,57000.0,,,"57,000","Health insurance (adults), Number"
671,UHF34,102,2020,0,111000.0,,,"111,000","Health insurance (adults), Number"
671,UHF34,102,2019,0,135000.0,,,"135,000","Health insurance (adults), Number"
671,UHF34,102,2018,0,136000.0,,,"136,000","Health insurance (adults), Number"
671,UHF34,102,2017,0,136000.0,,,"136,000","Health insurance (adults), Number"
671,UHF34,102,2016,0,141000.0,,,"141,000","Health insurance (adults), Number"
671,UHF34,102,2015,0,134000.0,,,"134,000","Health insurance (adults), Number"
671,UHF34,102,2014,0,132000.0,,* Estimate is based on small numbers so should be interpreted with caution.,"132,000*","Health insurance (adults), Number"
671,UHF34,102,2013,0,108000.0,,,"108,000","Health insurance (adults), Number"
671,UHF34,102,2012,0,109000.0,,,"109,000","Health insurance (adults), Number"
671,UHF34,103,2020,0,138000.0,,,"138,000","Health insurance (adults), Number"
671,UHF34,103,2019,0,117000.0,,,"117,000","Health insurance (adults), Number"
671,UHF34,103,2018,0,156000.0,,,"156,000","Health insurance (adults), Number"
671,UHF34,103,2017,0,160000.0,,,"160,000","Health insurance (adults), Number"
671,UHF34,103,2016,0,157000.0,,,"157,000","Health insurance (adults), Number"
671,UHF34,103,2015,0,149000.0,,,"149,000","Health insurance (adults), Number"
671,UHF34,103,2014,0,149000.0,,,"149,000","Health insurance (adults), Number"
671,UHF34,103,2013,0,134000.0,,,"134,000","Health insurance (adults), Number"
671,UHF34,103,2012,0,122000.0,,,"122,000","Health insurance (adults), Number"
671,UHF34,104,2020,0,187000.0,,,"187,000","Health insurance (adults), Number"
671,UHF34,104,2019,0,201000.0,,,"201,000","Health insurance (adults), Number"
671,UHF34,104,2018,0,216000.0,,,"216,000","Health insurance (adults), Number"
671,UHF34,104,2017,0,200000.0,,,"200,000","Health insurance (adults), Number"
671,UHF34,104,2016,0,208000.0,,,"208,000","Health insurance (adults), Number"
671,UHF34,104,2015,0,204000.0,,,"204,000","Health insurance (adults), Number"
671,UHF34,104,2014,0,189000.0,,,"189,000","Health insurance (adults), Number"
671,UHF34,104,2013,0,164000.0,,,"164,000","Health insurance (adults), Number"
671,UHF34,104,2012,0,169000.0,,,"169,000","Health insurance (adults), Number"
671,UHF34,201,2020,0,83000.0,,* Estimate is based on small numbers so should be interpreted with caution.,"83,000*","Health insurance (adults), Number"
671,UHF34,201,2019,0,91000.0,,,"91,000","Health insurance (adults), Number"
671,UHF34,201,2018,0,89000.0,,,"89,000","Health insurance (adults), Number"
671,UHF34,201,2017,0,96000.0,,,"96,000","Health insurance (adults), Number"
671,UHF34,201,2016,0,93000.0,,,"93,000","Health insurance (adults), Number"
